household_id,date,split,eligible,candidates,basket_items,candidate_actual_items
1001,2017-12-04,test,1,120,1,1
1001,2017-12-12,test,1,120,4,4
1001,2017-12-15,test,1,120,29,9
1001,2017-12-28,test,1,120,28,0
1005,2017-04-01,train,1,120,18,14
1005,2017-04-11,train,1,120,13,9
1005,2017-04-24,train,1,120,2,1
1005,2017-05-06,train,1,120,4,3
1005,2017-05-16,train,1,120,14,11
1005,2017-05-26,train,1,120,5,3
1005,2017-06-02,train,1,120,9,8
1005,2017-06-16,train,1,120,22,12
1005,2017-06-23,train,1,120,5,4
1005,2017-06-30,train,1,120,15,12
1005,2017-07-08,train,1,120,1,0
1005,2017-07-16,train,1,120,7,4
1005,2017-07-23,train,1,120,9,6
1005,2017-08-04,train,1,120,6,4
1005,2017-08-13,train,1,120,2,2
1005,2017-08-18,train,1,120,28,20
1005,2017-08-25,train,1,120,5,3
1005,2017-09-01,train,1,120,19,14
1005,2017-09-05,train,1,120,4,0
1005,2017-09-11,train,1,120,1,0
1005,2017-09-23,train,1,120,5,3
1005,2017-09-30,train,1,120,8,5
1005,2017-10-01,validation,1,120,7,2
1005,2017-10-04,validation,1,120,4,2
1005,2017-10-07,validation,1,120,3,3
1005,2017-10-08,validation,1,120,9,7
1005,2017-10-15,validation,1,120,11,10
1005,2017-10-16,validation,1,120,4,3
1005,2017-10-20,validation,1,120,18,9
1005,2017-10-23,validation,1,120,5,1
1005,2017-10-27,validation,1,120,5,5
1005,2017-10-31,validation,1,120,3,2
1005,2017-11-01,test,1,120,12,9
1005,2017-11-03,test,1,120,1,1
1005,2017-11-06,test,1,120,8,7
1005,2017-11-10,test,1,120,5,4
1005,2017-11-12,test,1,120,4,4
1005,2017-11-14,test,1,120,2,1
1005,2017-11-16,test,1,120,7,5
1005,2017-11-18,test,1,120,12,9
1005,2017-11-19,test,1,120,11,7
1005,2017-11-21,test,1,120,5,3
1005,2017-11-26,test,1,120,3,1
1005,2017-12-01,test,1,120,7,5
1005,2017-12-08,test,1,120,8,8
1005,2017-12-11,test,1,120,4,4
1005,2017-12-17,test,1,120,33,26
1005,2017-12-21,test,1,120,1,0
1018,2017-04-10,train,1,57,3,2
1018,2017-04-20,train,1,60,2,1
1018,2017-05-16,train,1,68,3,1
1018,2017-06-06,train,1,81,1,1
1018,2017-07-07,train,1,80,5,1
1018,2017-09-09,train,1,54,5,1
1018,2017-09-29,train,1,51,2,1
1018,2017-10-05,validation,1,52,1,0
1018,2017-10-22,validation,1,48,8,3
1018,2017-10-30,validation,1,52,1,0
1018,2017-11-13,test,1,45,1,0
1018,2017-11-23,test,1,32,2,0
1018,2017-11-26,test,1,34,5,0
1018,2017-11-30,test,1,39,6,3
1018,2017-12-03,test,1,42,10,3
1018,2017-12-06,test,1,48,7,3
1018,2017-12-09,test,1,52,4,1
1018,2017-12-20,test,1,50,21,6
1018,2017-12-26,test,1,65,16,5
1020,2017-04-08,train,1,120,52,9
1020,2017-04-20,train,1,120,1,0
1020,2017-05-23,train,1,120,38,17
1020,2017-06-18,train,1,120,10,5
1020,2017-06-25,train,1,120,21,9
1020,2017-07-07,train,1,120,59,24
1020,2017-07-15,train,1,120,11,6
1020,2017-07-24,train,1,120,6,1
1020,2017-07-29,train,1,120,13,1
1020,2017-08-06,train,1,120,17,8
1020,2017-08-19,train,1,120,2,2
1020,2017-09-15,train,1,120,5,1
1020,2017-09-28,train,1,120,50,21
1020,2017-10-01,validation,1,120,2,0
1020,2017-10-02,validation,1,120,13,2
1020,2017-10-07,validation,1,120,8,5
1020,2017-10-13,validation,1,120,66,21
1020,2017-10-17,validation,1,120,8,0
1020,2017-10-30,validation,1,120,55,26
1020,2017-11-01,test,1,120,3,0
1020,2017-11-05,test,1,120,1,1
1020,2017-11-09,test,1,120,7,2
1020,2017-11-10,test,1,120,39,20
1020,2017-11-14,test,1,120,1,1
1020,2017-11-20,test,1,120,70,30
1020,2017-11-22,test,1,120,16,4
1020,2017-11-24,test,1,120,3,2
1020,2017-11-28,test,1,120,41,20
1020,2017-12-02,test,1,120,2,0
1020,2017-12-03,test,1,120,46,19
1020,2017-12-09,test,1,120,6,1
1020,2017-12-12,test,1,120,7,2
1020,2017-12-13,test,1,120,2,0
1020,2017-12-14,test,1,120,8,3
1020,2017-12-17,test,1,120,3,2
1020,2017-12-19,test,1,120,10,4
1020,2017-12-22,test,1,120,58,16
1020,2017-12-23,test,1,120,3,0
1020,2017-12-24,test,1,120,7,0
1020,2017-12-26,test,1,120,35,9
1020,2017-12-28,test,1,120,15,6
1020,2017-12-31,test,1,120,11,0
1029,2017-04-02,train,1,120,11,8
1029,2017-04-14,train,1,120,14,11
1029,2017-04-25,train,1,120,28,22
1029,2017-05-04,train,1,120,1,0
1029,2017-05-22,train,1,120,28,19
1029,2017-06-05,train,1,120,69,39
1029,2017-06-19,train,1,120,17,12
1029,2017-07-04,train,1,120,50,32
1029,2017-07-20,train,1,120,3,0
1029,2017-07-28,train,1,120,2,1
1029,2017-08-09,train,1,120,58,26
1029,2017-08-21,train,1,120,12,8
1029,2017-09-05,train,1,120,12,8
1029,2017-09-14,train,1,120,10,9
1029,2017-09-25,train,1,120,5,5
1029,2017-10-03,validation,1,120,11,11
1029,2017-10-06,validation,1,120,82,39
1029,2017-10-11,validation,1,120,8,6
1029,2017-10-14,validation,1,120,4,4
1029,2017-10-15,validation,1,120,3,1
1029,2017-10-20,validation,1,120,69,37
1029,2017-10-22,validation,1,120,4,2
1029,2017-10-29,validation,1,120,20,11
1029,2017-11-02,test,1,120,7,5
1029,2017-11-14,test,1,120,39,30
1029,2017-11-18,test,1,120,9,1
1029,2017-11-21,test,1,120,2,1
1029,2017-11-24,test,1,120,23,11
1029,2017-11-27,test,1,120,6,5
1029,2017-11-29,test,1,120,4,2
1029,2017-12-02,test,1,120,72,46
1029,2017-12-13,test,1,120,6,3
1029,2017-12-15,test,1,120,49,33
1029,2017-12-18,test,1,120,1,1
1029,2017-12-22,test,1,120,29,9
1029,2017-12-24,test,1,120,1,1
1029,2017-12-26,test,1,120,5,3
1029,2017-12-30,test,1,120,22,16
1029,2017-12-31,test,1,120,1,0
1034,2017-05-29,train,1,40,2,0
1034,2017-06-15,train,1,44,2,1
1034,2017-08-19,train,1,18,2,1
1034,2017-12-26,test,1,8,1,0
1036,2017-04-18,train,1,50,6,4
1036,2017-04-30,train,1,66,4,1
1036,2017-12-26,test,0,0,10,0
1037,2017-05-01,train,1,31,1,0
1037,2017-08-04,train,1,18,6,0
1037,2017-10-25,validation,1,13,3,0
1037,2017-11-02,test,1,15,1,0
1038,2017-04-08,train,1,105,4,2
1038,2017-04-23,train,1,111,1,1
1038,2017-05-04,train,1,113,1,1
1038,2017-05-09,train,1,117,2,2
1038,2017-05-19,train,1,118,10,6
1038,2017-05-26,train,1,120,1,1
1038,2017-06-07,train,1,120,2,0
1038,2017-06-19,train,1,120,4,3
1038,2017-06-26,train,1,120,1,1
1038,2017-07-01,train,1,120,3,1
1038,2017-07-08,train,1,120,1,1
1038,2017-07-18,train,1,113,3,2
1038,2017-07-26,train,1,117,2,2
1038,2017-07-31,train,1,117,3,3
1038,2017-08-06,train,1,120,3,3
1038,2017-08-13,train,1,120,6,6
1038,2017-08-18,train,1,120,3,3
1038,2017-08-24,train,1,108,2,2
1038,2017-09-05,train,1,111,7,3
1038,2017-09-09,train,1,112,2,2
1038,2017-09-14,train,1,110,11,3
1038,2017-09-17,train,1,118,1,1
1038,2017-09-20,train,1,118,1,1
1038,2017-10-04,validation,1,120,1,1
1038,2017-10-05,validation,1,120,19,5
1038,2017-10-06,validation,1,120,3,0
1038,2017-10-08,validation,1,120,3,3
1038,2017-10-09,validation,1,120,2,1
1038,2017-10-10,validation,1,120,1,1
1038,2017-10-11,validation,1,120,3,2
1038,2017-10-15,validation,1,120,1,1
1038,2017-10-17,validation,1,120,9,7
1038,2017-10-21,validation,1,120,3,2
1038,2017-10-22,validation,1,120,6,2
1038,2017-10-24,validation,1,120,13,5
1038,2017-10-25,validation,1,120,5,4
1038,2017-10-26,validation,1,120,3,1
1038,2017-10-28,validation,1,120,5,4
1038,2017-10-29,validation,1,120,3,3
1038,2017-10-31,validation,1,120,1,0
1038,2017-11-10,test,1,120,5,3
104,2017-04-02,train,1,120,28,6
104,2017-04-16,train,1,120,8,3
104,2017-05-01,train,1,120,4,1
104,2017-05-16,train,1,120,1,1
104,2017-05-30,train,1,120,3,2
104,2017-06-13,train,1,120,8,5
104,2017-07-04,train,1,120,69,28
104,2017-08-03,train,1,120,3,2
104,2017-08-28,train,1,120,1,0
104,2017-09-18,train,1,120,2,0
104,2017-10-08,validation,1,120,3,2
104,2017-10-09,validation,1,120,1,1
104,2017-10-16,validation,1,120,2,0
104,2017-10-17,validation,1,120,4,0
104,2017-10-24,validation,1,120,9,2
104,2017-10-27,validation,1,120,1,1
104,2017-10-29,validation,1,120,95,28
104,2017-11-07,test,1,120,2,0
104,2017-11-12,test,1,120,72,24
104,2017-11-20,test,1,120,4,1
104,2017-11-26,test,1,120,47,26
104,2017-11-30,test,1,120,10,1
104,2017-12-04,test,1,120,3,3
104,2017-12-05,test,1,120,10,4
104,2017-12-09,test,1,120,109,43
104,2017-12-24,test,1,120,3,2
104,2017-12-27,test,1,120,15,5
104,2017-12-28,test,1,120,54,22
104,2017-12-31,test,1,120,1,0
1040,2017-04-09,train,1,120,3,2
1040,2017-04-24,train,1,120,3,0
1040,2017-05-02,train,1,120,2,1
1040,2017-05-07,train,1,120,20,10
1040,2017-05-15,train,1,120,3,1
1040,2017-05-20,train,1,120,2,1
1040,2017-05-29,train,1,120,15,6
1040,2017-06-06,train,1,120,3,2
1040,2017-06-15,train,1,120,3,3
1040,2017-06-24,train,1,120,7,1
1040,2017-06-30,train,1,120,2,1
1040,2017-07-07,train,1,120,3,0
1040,2017-07-13,train,1,120,24,13
1040,2017-07-23,train,1,120,21,14
1040,2017-08-06,train,1,120,2,2
1040,2017-08-18,train,1,120,2,2
1040,2017-08-24,train,1,120,2,0
1040,2017-09-04,train,1,120,23,13
1040,2017-09-09,train,1,120,3,1
1040,2017-09-17,train,1,120,19,10
1040,2017-09-26,train,1,120,2,0
1040,2017-10-17,validation,1,120,2,2
1040,2017-10-24,validation,1,120,2,0
1040,2017-10-26,validation,1,120,1,0
1040,2017-10-27,validation,1,120,23,13
1040,2017-10-30,validation,1,120,3,1
1040,2017-11-03,test,1,120,7,0
1040,2017-11-07,test,1,120,2,2
1040,2017-11-10,test,1,120,20,11
1040,2017-11-17,test,1,120,1,0
1040,2017-11-19,test,1,120,1,0
1040,2017-11-22,test,1,120,25,17
1040,2017-12-01,test,1,120,3,0
1040,2017-12-05,test,1,120,2,1
1040,2017-12-06,test,1,120,18,10
1040,2017-12-08,test,1,120,1,1
1040,2017-12-15,test,1,120,2,0
1040,2017-12-18,test,1,120,6,3
1040,2017-12-19,test,1,120,23,13
1040,2017-12-21,test,1,120,2,0
1041,2017-04-02,train,1,120,1,0
1041,2017-04-13,train,1,120,15,4
1041,2017-04-22,train,1,120,4,1
1041,2017-04-30,train,1,120,6,4
1041,2017-05-08,train,1,120,44,6
1041,2017-05-13,train,1,120,14,3
1041,2017-05-16,train,1,120,2,0
1041,2017-05-21,train,1,120,14,3
1041,2017-05-28,train,1,120,5,4
1041,2017-06-05,train,1,120,17,2
1041,2017-06-11,train,1,120,34,5
1041,2017-06-14,train,1,120,12,1
1041,2017-06-18,train,1,120,35,14
1041,2017-06-26,train,1,120,15,3
1041,2017-07-08,train,1,120,4,3
1041,2017-07-14,train,1,120,20,1
1041,2017-07-28,train,1,120,8,3
1041,2017-08-09,train,1,120,55,14
1041,2017-08-25,train,1,120,1,0
1041,2017-09-01,train,1,120,3,0
1041,2017-09-08,train,1,120,25,8
1041,2017-09-15,train,1,120,13,5
1041,2017-10-04,validation,1,120,1,0
1041,2017-10-05,validation,1,120,17,3
1041,2017-10-09,validation,1,120,22,3
1041,2017-10-14,validation,1,120,2,1
1041,2017-10-21,validation,1,120,7,1
1041,2017-10-23,validation,1,120,16,6
1041,2017-10-26,validation,1,120,6,0
1041,2017-10-28,validation,1,120,13,7
1041,2017-10-29,validation,1,120,23,9
1041,2017-11-01,test,1,120,2,0
1041,2017-11-03,test,1,120,6,2
1041,2017-11-04,test,1,120,24,6
1041,2017-11-05,test,1,120,12,4
1041,2017-11-07,test,1,120,6,1
1041,2017-11-09,test,1,120,17,6
1041,2017-11-10,test,1,120,25,7
1041,2017-11-11,test,1,120,25,8
1041,2017-11-12,test,1,120,7,3
1041,2017-11-14,test,1,120,4,2
1041,2017-11-18,test,1,120,2,1
1041,2017-11-22,test,1,120,24,3
1041,2017-11-23,test,1,120,8,1
1041,2017-11-24,test,1,120,1,0
1041,2017-12-01,test,1,120,19,4
1041,2017-12-07,test,1,120,5,0
1041,2017-12-08,test,1,120,28,10
1041,2017-12-09,test,1,120,1,0
1041,2017-12-13,test,1,120,27,6
1041,2017-12-15,test,1,120,4,3
1041,2017-12-16,test,1,120,16,4
1041,2017-12-18,test,1,120,10,2
1041,2017-12-21,test,1,120,1,0
1041,2017-12-26,test,1,120,26,5
1041,2017-12-30,test,1,120,6,2
1041,2017-12-31,test,1,120,2,0
1043,2017-07-14,train,0,73,40,1
1046,2017-04-08,train,1,76,1,1
1046,2017-04-13,train,1,78,1,1
1046,2017-04-20,train,1,94,4,4
1046,2017-05-01,train,1,103,3,3
1046,2017-05-12,train,1,112,2,2
1046,2017-05-17,train,1,114,4,2
1046,2017-05-26,train,1,116,2,2
1046,2017-06-04,train,1,120,3,2
1046,2017-06-11,train,1,120,6,4
1046,2017-06-24,train,1,120,2,2
1046,2017-07-01,train,1,120,5,2
1046,2017-07-06,train,1,120,11,5
1046,2017-07-17,train,1,120,7,3
1046,2017-08-01,train,1,120,16,10
1046,2017-08-12,train,1,120,2,1
1046,2017-08-25,train,1,120,6,3
1046,2017-08-31,train,1,120,2,2
1046,2017-09-13,train,1,120,4,2
1046,2017-09-26,train,1,120,3,1
1046,2017-10-02,validation,1,120,1,1
1046,2017-10-08,validation,1,120,17,5
1046,2017-10-17,validation,1,120,37,3
1046,2017-10-20,validation,1,120,3,2
1046,2017-10-24,validation,1,120,17,5
1046,2017-11-01,test,1,120,9,5
1046,2017-11-04,test,1,120,7,2
1046,2017-11-14,test,1,120,8,3
1046,2017-11-22,test,1,120,46,6
1046,2017-11-23,test,1,120,4,1
1046,2017-12-03,test,1,120,12,8
1046,2017-12-17,test,1,120,7,3
1046,2017-12-23,test,1,120,7,5
1046,2017-12-30,test,1,120,4,2
1049,2017-05-10,train,1,43,4,2
1049,2017-05-21,train,1,46,27,4
1049,2017-06-26,train,1,95,17,4
1049,2017-08-09,train,1,104,3,0
1049,2017-09-07,train,1,120,5,1
1049,2017-10-12,validation,1,106,1,0
1049,2017-10-15,validation,1,107,4,0
1049,2017-10-21,validation,1,111,24,3
1049,2017-10-29,validation,1,120,1,0
1049,2017-11-13,test,1,120,5,1
1049,2017-12-04,test,1,109,7,1
1049,2017-12-12,test,1,115,2,0
1049,2017-12-14,test,1,117,6,2
105,2017-04-04,train,1,120,10,1
105,2017-04-15,train,1,120,23,1
105,2017-05-26,train,1,120,24,8
105,2017-06-17,train,1,120,1,0
105,2017-06-23,train,1,120,7,3
105,2017-07-24,train,1,120,24,2
105,2017-08-09,train,1,120,8,2
105,2017-08-16,train,1,120,1,1
105,2017-09-13,train,1,120,3,2
105,2017-09-23,train,1,120,4,1
105,2017-10-04,validation,1,120,33,7
105,2017-11-03,test,1,120,55,12
105,2017-11-08,test,1,120,3,1
105,2017-11-09,test,1,120,3,2
105,2017-11-15,test,1,120,1,1
105,2017-11-20,test,1,120,2,1
105,2017-11-22,test,1,120,3,1
105,2017-12-03,test,1,120,29,6
105,2017-12-04,test,1,120,3,3
105,2017-12-06,test,1,120,4,3
105,2017-12-07,test,1,120,14,3
105,2017-12-11,test,1,120,3,3
105,2017-12-12,test,1,120,2,2
105,2017-12-20,test,1,120,3,2
105,2017-12-22,test,1,120,1,0
105,2017-12-28,test,1,120,3,2
1053,2017-04-02,train,1,120,9,7
1053,2017-04-26,train,1,120,17,11
1053,2017-05-17,train,1,120,16,9
1053,2017-06-05,train,1,120,22,17
1053,2017-06-15,train,1,120,10,3
1053,2017-06-30,train,1,120,11,9
1053,2017-07-28,train,1,120,24,15
1053,2017-08-14,train,1,120,26,18
1053,2017-09-10,train,1,120,25,13
1053,2017-09-26,train,1,120,9,7
1053,2017-10-02,validation,1,120,6,3
1053,2017-10-03,validation,1,120,9,7
1053,2017-10-10,validation,1,120,22,15
1053,2017-10-16,validation,1,120,7,6
1053,2017-10-19,validation,1,120,7,6
1053,2017-10-31,validation,1,120,21,13
1053,2017-11-10,test,1,120,10,3
1053,2017-11-14,test,1,120,9,4
1053,2017-11-28,test,1,120,4,1
1053,2017-12-05,test,1,120,16,9
1053,2017-12-06,test,1,120,14,11
1053,2017-12-13,test,1,120,16,11
1053,2017-12-15,test,1,120,5,0
1053,2017-12-19,test,1,120,8,3
1053,2017-12-22,test,1,120,27,12
1053,2017-12-28,test,1,120,16,12
1054,2017-04-21,train,1,37,2,0
1054,2017-06-25,train,1,60,3,1
1054,2017-11-04,test,1,41,17,3
1054,2017-12-02,test,1,47,4,0
1054,2017-12-08,test,1,39,3,0
1054,2017-12-14,test,1,42,6,0
1054,2017-12-30,test,1,45,4,0
1056,2017-04-15,train,1,120,18,6
1056,2017-05-16,train,1,120,4,3
1056,2017-06-13,train,1,120,4,0
1056,2017-08-17,train,1,120,13,7
1056,2017-10-01,validation,1,120,12,1
1056,2017-10-13,validation,1,120,60,16
1056,2017-10-18,validation,1,120,13,5
1056,2017-11-04,test,1,120,60,20
1056,2017-11-09,test,1,120,8,5
1056,2017-12-10,test,1,120,19,10
1056,2017-12-27,test,1,120,1,0
1057,2017-04-02,train,1,114,15,11
1057,2017-04-16,train,1,120,2,2
1057,2017-05-09,train,1,120,16,16
1057,2017-05-18,train,1,120,6,5
1057,2017-05-29,train,1,120,26,17
1057,2017-06-04,train,1,120,21,15
1057,2017-06-15,train,1,120,5,5
1057,2017-06-27,train,1,120,12,8
1057,2017-07-03,train,1,120,7,6
1057,2017-07-07,train,1,120,7,6
1057,2017-07-16,train,1,120,6,5
1057,2017-07-28,train,1,120,13,11
1057,2017-08-07,train,1,120,7,7
1057,2017-08-20,train,1,120,3,3
1057,2017-08-27,train,1,120,11,11
1057,2017-09-03,train,1,120,12,12
1057,2017-09-12,train,1,120,7,6
1057,2017-09-20,train,1,120,5,5
1057,2017-10-01,validation,1,120,5,4
1057,2017-10-02,validation,1,120,4,3
1057,2017-10-09,validation,1,120,9,8
1057,2017-10-15,validation,1,120,14,14
1057,2017-10-17,validation,1,120,10,10
1057,2017-10-22,validation,1,120,11,8
1057,2017-10-24,validation,1,120,7,6
1057,2017-10-29,validation,1,120,14,12
1057,2017-11-04,test,1,120,18,14
1057,2017-11-05,test,1,120,10,10
1057,2017-11-12,test,1,120,9,9
1057,2017-11-16,test,1,120,6,4
1057,2017-11-20,test,1,120,5,5
1057,2017-11-27,test,1,120,11,6
1057,2017-11-28,test,1,120,9,9
1057,2017-12-03,test,1,120,11,11
1057,2017-12-05,test,1,120,7,7
1057,2017-12-07,test,1,120,9,3
1057,2017-12-10,test,1,120,9,9
1057,2017-12-14,test,1,120,3,2
1057,2017-12-16,test,1,120,9,7
1057,2017-12-17,test,1,120,9,6
1057,2017-12-18,test,1,120,4,2
1057,2017-12-21,test,1,120,2,2
1057,2017-12-24,test,1,120,10,8
1057,2017-12-29,test,1,120,8,7
1060,2017-04-09,train,1,120,41,19
1060,2017-05-17,train,1,120,50,32
1060,2017-06-25,train,1,120,45,25
1060,2017-07-22,train,1,120,38,28
1060,2017-08-17,train,1,120,48,30
1060,2017-09-13,train,1,120,46,38
1060,2017-10-06,validation,1,120,38,23
1060,2017-10-15,validation,1,120,39,22
1060,2017-11-01,test,1,120,2,0
1062,2017-04-08,train,1,73,2,1
1062,2017-04-14,train,1,75,2,2
1062,2017-04-25,train,1,75,1,1
1062,2017-05-08,train,1,76,1,1
1062,2017-05-13,train,1,76,1,1
1062,2017-05-30,train,1,76,16,8
1062,2017-06-06,train,1,89,3,0
1062,2017-06-13,train,1,92,3,3
1062,2017-06-19,train,1,94,4,2
1062,2017-06-26,train,1,97,1,0
1062,2017-07-10,train,1,92,1,0
1062,2017-07-16,train,1,90,18,6
1062,2017-07-24,train,1,80,5,5
1062,2017-08-03,train,1,75,3,1
1062,2017-08-19,train,1,72,2,2
1062,2017-08-26,train,1,69,1,1
1062,2017-09-06,train,1,66,11,6
1062,2017-09-12,train,1,72,1,1
1062,2017-09-18,train,1,69,15,8
1062,2017-09-29,train,1,77,1,1
1062,2017-10-02,validation,1,77,4,4
1062,2017-10-08,validation,1,77,3,2
1062,2017-10-11,validation,1,77,3,2
1062,2017-10-13,validation,1,77,3,3
1062,2017-10-15,validation,1,77,1,1
1062,2017-10-16,validation,1,77,2,2
1062,2017-10-19,validation,1,77,2,2
1062,2017-10-20,validation,1,77,1,0
1062,2017-10-21,validation,1,78,4,1
1062,2017-10-22,validation,1,81,2,2
1062,2017-10-25,validation,1,81,2,2
1062,2017-10-27,validation,1,81,1,1
1062,2017-10-29,validation,1,79,3,3
1062,2017-11-03,test,1,79,2,2
1062,2017-11-15,test,1,79,3,2
1062,2017-11-22,test,1,80,2,2
1062,2017-11-25,test,1,80,4,3
1062,2017-12-04,test,1,66,1,0
1062,2017-12-09,test,1,67,2,2
1062,2017-12-12,test,1,65,2,2
1062,2017-12-19,test,1,61,3,3
1062,2017-12-22,test,1,60,1,1
1062,2017-12-27,test,1,59,11,4
1062,2017-12-31,test,1,66,3,3
1063,2017-06-03,train,1,10,19,0
1063,2017-08-04,train,1,35,2,0
1063,2017-12-03,test,1,16,14,0
1068,2017-08-17,train,0,0,7,0
1068,2017-11-12,test,1,10,3,0
1068,2017-12-04,test,1,13,5,0
1068,2017-12-06,test,1,18,40,4
1068,2017-12-19,test,1,54,1,0
1068,2017-12-27,test,1,55,1,0
1070,2017-04-10,train,1,120,6,1
1070,2017-04-21,train,1,120,17,4
1070,2017-06-02,train,1,120,22,3
1070,2017-06-23,train,1,120,2,0
1070,2017-06-30,train,1,120,27,5
1070,2017-07-27,train,1,120,3,0
1070,2017-08-12,train,1,120,21,7
1070,2017-09-06,train,1,120,9,3
1070,2017-10-20,validation,1,120,1,0
1070,2017-10-31,validation,1,120,13,3
1070,2017-11-04,test,1,120,34,10
1070,2017-11-25,test,1,120,5,0
1070,2017-11-29,test,1,120,14,5
1070,2017-12-13,test,1,120,18,9
1070,2017-12-23,test,1,120,2,0
1070,2017-12-26,test,1,120,29,9
1075,2017-04-10,train,1,62,7,1
1075,2017-04-26,train,1,69,15,2
1075,2017-06-25,train,1,88,4,1
1075,2017-08-02,train,1,55,19,3
1075,2017-09-13,train,1,62,2,0
1075,2017-10-24,validation,1,43,1,0
1075,2017-11-17,test,1,37,4,0
1075,2017-11-18,test,1,41,3,0
1075,2017-11-19,test,1,44,6,2
1075,2017-11-22,test,1,48,7,3
1075,2017-12-01,test,1,52,8,3
1075,2017-12-08,test,1,57,1,1
1075,2017-12-09,test,1,57,1,0
1075,2017-12-23,test,1,55,10,6
1075,2017-12-24,test,1,59,3,1
1075,2017-12-30,test,1,61,9,2
1080,2017-04-05,train,0,34,11,0
1080,2017-05-06,train,1,62,1,0
1080,2017-05-31,train,1,70,2,1
1080,2017-07-05,train,1,80,9,3
1080,2017-08-17,train,1,91,10,6
1080,2017-09-30,train,1,119,17,2
1080,2017-11-24,test,1,105,8,1
1080,2017-12-13,test,1,108,23,8
1080,2017-12-28,test,1,119,3,1
1080,2017-12-30,test,1,120,15,2
1080,2017-12-31,test,1,120,3,1
1081,2017-04-01,train,1,120,75,20
1081,2017-04-09,train,1,120,5,2
1081,2017-04-20,train,1,120,3,0
1081,2017-05-11,train,1,120,4,1
1081,2017-05-29,train,1,120,9,2
1081,2017-06-06,train,1,120,2,0
1081,2017-06-27,train,1,120,14,3
1081,2017-07-09,train,1,120,3,1
1081,2017-07-28,train,1,120,35,6
1081,2017-08-10,train,1,120,4,0
1081,2017-09-12,train,1,120,13,3
1081,2017-10-05,validation,1,120,45,17
1081,2017-10-10,validation,1,120,8,2
1081,2017-10-15,validation,1,120,54,25
1081,2017-10-22,validation,1,120,41,12
1081,2017-10-29,validation,1,120,32,16
1081,2017-10-31,validation,1,120,2,2
1081,2017-11-06,test,1,120,4,1
1081,2017-11-07,test,1,120,16,1
1081,2017-11-09,test,1,120,1,0
1081,2017-11-14,test,1,120,32,9
1081,2017-11-21,test,1,120,45,14
1081,2017-11-28,test,1,120,12,4
1081,2017-12-12,test,1,120,71,25
1081,2017-12-23,test,1,120,36,13
1081,2017-12-29,test,1,120,16,9
