household_id,shopping_days,receipts,sales_value,average_day_value,first_date,last_date
1090,6,6,165.16,27.526666666666667,2017-02-28,2017-12-14
1091,47,54,2770.83,58.95382978723404,2017-01-05,2017-12-18
1092,25,29,648.31,25.932399999999998,2017-01-20,2017-12-19
1093,9,9,162.25,18.02777777777778,2017-01-28,2017-11-22
1094,49,56,4137.7300000000005,84.44346938775512,2017-01-03,2017-12-13
1095,16,16,283.06,17.69125,2017-01-04,2017-12-26
1096,3,3,54.44,18.146666666666665,2017-03-03,2017-11-26
1097,73,91,3578.17,49.016027397260274,2017-01-06,2017-12-22
1098,164,274,5921.9800000000005,36.10963414634146,2017-01-02,2017-12-30
1099,12,12,219.9,18.325,2017-01-10,2017-12-30
11,2,2,10.05,5.025,2017-04-29,2017-05-08
110,76,95,1741.8600000000001,22.91921052631579,2017-01-04,2017-12-17
1100,9,11,128.82,14.313333333333333,2017-01-20,2017-12-13
1101,8,9,119.12,14.89,2017-01-29,2017-12-23
1102,34,36,940.2900000000001,27.65558823529412,2017-01-01,2017-12-22
1103,100,116,3497.58,34.9758,2017-01-03,2017-12-23
1104,70,74,2480.1,35.43,2017-01-01,2017-12-26
1106,20,20,475.33,23.7665,2017-01-23,2017-12-23
1107,12,13,510.08,42.50666666666667,2017-01-04,2017-12-30
1108,12,12,208.12,17.343333333333334,2017-02-26,2017-11-22
1109,48,52,2031.69,42.326875,2017-01-02,2017-12-31
111,23,26,707.56,30.76347826086956,2017-01-08,2017-12-31
1110,115,124,5165.62,44.91843478260869,2017-01-10,2017-12-31
1111,141,162,12368.36,87.71886524822695,2017-01-01,2017-12-26
1112,21,24,880.27,41.91761904761905,2017-01-05,2017-12-19
1113,83,94,2185.81,26.335060240963855,2017-01-10,2017-12-28
1114,20,21,388.43,19.4215,2017-01-10,2017-11-30
1115,16,18,559.86,34.99125,2017-02-08,2017-11-03
1116,18,23,764.02,42.44555555555556,2017-02-27,2017-12-05
1117,75,89,1938.66,25.8488,2017-01-01,2017-12-06
1118,10,10,640.4399999999999,64.044,2017-01-08,2017-11-07
1119,34,37,1058.24,31.12470588235294,2017-01-16,2017-12-30
112,48,54,912.46,19.009583333333335,2017-01-17,2017-12-24
1120,37,43,801.66,21.666486486486484,2017-01-01,2017-12-06
1121,27,28,1322.11,48.96703703703703,2017-01-01,2017-12-18
1122,27,29,496.56,18.391111111111112,2017-01-03,2017-08-02
1123,34,41,2036.18,59.88764705882353,2017-01-08,2017-12-20
1124,31,43,1313.23,42.362258064516126,2017-01-01,2017-12-05
1125,47,62,540.09,11.491276595744681,2017-03-30,2017-12-29
1126,14,14,1369.27,97.80499999999999,2017-01-14,2017-11-22
1127,19,21,1229.43,64.70684210526316,2017-03-08,2017-12-19
1128,92,116,1592.16,17.30608695652174,2017-01-03,2017-12-29
1129,38,38,886.28,23.32315789473684,2017-01-04,2017-12-31
113,103,131,8646.42,83.94582524271844,2017-01-02,2017-12-30
1130,123,169,2776.62,22.574146341463415,2017-01-01,2017-12-31
1131,70,78,2264.89,32.35557142857143,2017-01-06,2017-12-31
1132,17,24,1100.93,64.76058823529412,2017-01-07,2017-12-17
1133,65,78,945.86,14.551692307692308,2017-01-01,2017-12-31
1134,33,36,3322.3,100.67575757575759,2017-01-09,2017-12-19
1135,31,32,338.11,10.906774193548388,2017-02-14,2017-12-15
1136,30,32,748.15,24.938333333333333,2017-01-08,2017-12-28
1137,62,68,1195.34,19.279677419354837,2017-01-03,2017-12-30
1138,108,116,2515.03,23.287314814814817,2017-01-03,2017-12-29
1139,41,43,4186.83,102.11780487804877,2017-01-05,2017-11-27
114,37,37,1365.94,36.917297297297296,2017-01-04,2017-12-18
1140,13,18,1027.33,79.02538461538461,2017-09-01,2017-12-18
1141,31,33,804.29,25.94483870967742,2017-01-07,2017-12-18
1142,130,152,8886.47,68.35746153846154,2017-01-03,2017-12-31
1143,6,6,114.55,19.091666666666665,2017-03-03,2017-12-18
1144,9,9,99.79,11.087777777777779,2017-02-02,2017-08-06
1145,38,53,2797.15,73.60921052631579,2017-01-03,2017-11-19
1146,160,211,5275.59,32.9724375,2017-01-06,2017-12-31
1147,26,28,2224.19,85.54576923076924,2017-02-01,2017-12-10
1148,17,17,321.28000000000003,18.898823529411768,2017-05-23,2017-12-13
1149,8,9,115.48,14.435,2017-05-15,2017-12-23
115,100,127,8015.72,80.1572,2017-01-08,2017-12-30
1150,12,13,834.91,69.57583333333334,2017-03-23,2017-09-25
1151,93,107,1984.24,21.335913978494624,2017-01-10,2017-12-31
1152,19,21,422.59999999999997,22.242105263157892,2017-04-23,2017-12-31
1153,26,32,468.85,18.032692307692308,2017-01-09,2017-11-11
1154,66,68,2163.98,32.78757575757576,2017-01-14,2017-12-30
1155,21,30,1228.89,58.518571428571434,2017-01-21,2017-12-30
1156,18,19,640.51,35.583888888888886,2017-01-07,2017-12-20
1157,47,55,1561.57,33.22489361702127,2017-01-11,2017-12-28
1158,115,147,1992.83,17.32895652173913,2017-01-03,2017-12-31
1159,76,86,1513.43,19.91355263157895,2017-01-01,2017-12-31
116,44,47,405.79,9.2225,2017-01-03,2017-12-30
1160,64,81,2259.62,35.3065625,2017-01-06,2017-12-31
1161,20,22,654.38,32.719,2017-01-22,2017-12-15
1162,13,13,214.77,16.520769230769233,2017-01-07,2017-08-01
1163,73,80,2700.18,36.988767123287666,2017-01-04,2017-12-24
1164,59,63,2778.69,47.0964406779661,2017-01-07,2017-12-30
1165,32,32,792.5,24.765625,2017-01-02,2017-12-28
1166,168,221,6940.1,41.31011904761905,2017-01-04,2017-12-30
1167,80,85,3842.2000000000003,48.0275,2017-01-03,2017-12-27
1168,41,41,551.66,13.455121951219512,2017-01-11,2017-12-26
1169,51,63,2351.0,46.09803921568628,2017-01-11,2017-12-28
117,49,52,1463.14,29.860000000000003,2017-01-04,2017-12-30
1170,3,3,15.99,5.33,2017-04-01,2017-12-31
1171,20,25,636.97,31.8485,2017-01-03,2017-12-06
1172,92,111,3140.95,34.14076086956521,2017-01-04,2017-12-31
1173,17,20,379.24,22.308235294117647,2017-06-20,2017-12-19
1174,63,77,1325.29,21.036349206349207,2017-01-04,2017-12-31
1175,70,77,3960.7400000000002,56.582,2017-01-02,2017-12-13
1176,1,1,35.96,35.96,2017-11-03,2017-11-03
1177,13,13,257.39,19.799230769230768,2017-04-23,2017-12-31
1178,112,120,2518.12,22.483214285714286,2017-01-03,2017-12-31
1179,123,147,6294.31,51.17325203252033,2017-01-01,2017-12-30
118,43,47,2609.33,60.68209302325581,2017-01-03,2017-12-26
1180,84,110,3888.64,46.29333333333333,2017-01-08,2017-12-29
1181,49,54,1320.86,26.956326530612245,2017-01-08,2017-12-26
1182,29,34,486.49,16.775517241379312,2017-01-01,2017-12-27
1185,26,29,706.64,27.178461538461537,2017-01-15,2017-12-30
1186,44,49,3721.98,84.59045454545455,2017-01-14,2017-12-28
1187,88,106,2332.92,26.510454545454547,2017-01-01,2017-12-31
1188,65,77,1667.49,25.653692307692307,2017-01-07,2017-12-30
1189,21,21,470.18,22.38952380952381,2017-02-12,2017-12-30
119,43,47,1920.8,44.669767441860465,2017-01-03,2017-12-30
1190,120,153,2117.59,17.646583333333336,2017-01-02,2017-12-31
1191,57,58,1443.45,25.323684210526316,2017-01-02,2017-12-14
1192,39,47,760.28,19.494358974358974,2017-01-02,2017-12-31
1193,52,60,944.72,18.16769230769231,2017-01-08,2017-12-29
1194,21,22,469.66,22.364761904761906,2017-01-01,2017-12-10
1195,16,16,530.8100000000001,33.175625000000004,2017-02-08,2017-12-04
1196,15,15,1015.3,67.68666666666667,2017-03-02,2017-12-15
1197,85,102,5293.67,62.278470588235294,2017-01-12,2017-12-31
1198,24,26,532.81,22.200416666666666,2017-01-04,2017-12-24
12,3,3,182.35999999999999,60.78666666666666,2017-01-25,2017-08-08
120,8,8,131.37,16.42125,2017-02-01,2017-07-13
1200,20,20,1134.88,56.74400000000001,2017-01-11,2017-12-03
1201,24,24,344.29,14.345416666666667,2017-01-11,2017-12-31
1202,12,13,318.51,26.5425,2017-03-16,2017-12-26
1203,100,123,3847.63,38.4763,2017-01-04,2017-12-30
1204,32,41,1182.74,36.960625,2017-01-01,2017-12-18
1205,74,94,2201.06,29.744054054054054,2017-01-03,2017-12-21
1206,121,131,2954.52,24.417520661157024,2017-01-01,2017-12-31
1207,47,55,433.49,9.223191489361703,2017-01-04,2017-12-24
1208,31,34,536.79,17.315806451612904,2017-02-01,2017-12-28
1209,7,7,138.12,19.731428571428573,2017-02-06,2017-12-09
121,64,79,1602.4,25.0375,2017-01-01,2017-12-21
1210,23,26,585.3100000000001,25.44826086956522,2017-03-04,2017-12-16
1211,68,81,4614.81,67.86485294117648,2017-01-02,2017-12-31
1212,1,1,15.97,15.97,2017-01-10,2017-01-10
1213,15,15,215.35999999999999,14.357333333333333,2017-03-30,2017-12-31
1214,3,3,58.39,19.463333333333335,2017-01-29,2017-09-13
1215,6,7,333.7,55.61666666666667,2017-03-20,2017-12-30
1216,75,79,3370.05,44.934000000000005,2017-01-03,2017-12-30
1217,25,30,1551.42,62.0568,2017-01-02,2017-12-30
1218,51,56,2081.46,40.81294117647059,2017-01-04,2017-12-29
1219,59,64,440.19,7.460847457627119,2017-01-01,2017-12-27
122,38,40,465.47,12.24921052631579,2017-01-01,2017-12-13
1220,24,28,336.57,14.02375,2017-01-21,2017-12-14
1221,5,5,309.14,61.827999999999996,2017-01-06,2017-12-27
1222,92,99,3370.23,36.63293478260869,2017-01-01,2017-12-29
1223,24,32,1123.52,46.81333333333333,2017-01-11,2017-12-19
1224,41,54,1293.26,31.542926829268293,2017-01-05,2017-12-29
1225,31,38,794.92,25.64258064516129,2017-01-13,2017-12-31
1226,45,47,3958.18,87.95955555555555,2017-01-14,2017-12-30
1227,55,61,2735.82,49.74218181818182,2017-01-07,2017-12-09
1228,242,403,7998.24,33.05057851239669,2017-01-01,2017-12-31
1229,161,206,9612.1,59.70248447204969,2017-01-02,2017-12-31
123,87,92,1710.84,19.664827586206897,2017-01-02,2017-12-29
1230,13,13,155.6,11.96923076923077,2017-01-01,2017-11-26
1231,32,34,1119.33,34.9790625,2017-01-13,2017-12-22
1232,13,16,366.71,28.20846153846154,2017-01-04,2017-09-18
1233,11,12,554.15,50.377272727272725,2017-02-06,2017-10-21
1234,64,65,3478.15,54.34609375,2017-01-03,2017-12-29
1235,9,10,508.43,56.492222222222225,2017-01-22,2017-10-24
1236,79,95,1765.07,22.3426582278481,2017-01-07,2017-12-31
1237,11,11,607.47,55.224545454545456,2017-05-28,2017-12-03
1238,11,11,1205.3799999999999,109.57999999999998,2017-02-10,2017-11-12
1239,10,10,807.32,80.732,2017-01-04,2017-12-03
124,22,22,247.88,11.267272727272728,2017-01-21,2017-12-31
1240,106,131,6780.53,63.96726415094339,2017-01-02,2017-12-31
1241,46,52,836.76,18.190434782608694,2017-01-12,2017-12-28
1242,8,9,171.44,21.43,2017-01-18,2017-11-01
1243,9,9,204.39,22.709999999999997,2017-01-19,2017-11-06
1244,20,21,359.88,17.994,2017-01-07,2017-12-31
1245,135,167,2472.96,18.31822222222222,2017-01-07,2017-12-29
1246,44,45,2054.0,46.68181818181818,2017-01-08,2017-12-27
1247,67,71,4093.14,61.09164179104477,2017-01-02,2017-12-28
1248,67,75,4057.53,60.560149253731346,2017-01-02,2017-12-21
1249,10,10,225.61,22.561,2017-02-25,2017-12-16
125,155,199,5433.57,35.055290322580646,2017-01-07,2017-12-29
1250,3,3,112.03999999999999,37.346666666666664,2017-06-01,2017-12-24
1251,15,17,130.73,8.715333333333332,2017-01-06,2017-12-04
1252,19,19,566.65,29.823684210526313,2017-01-29,2017-12-30
1253,2,2,34.21,17.105,2017-11-05,2017-12-04
1254,3,3,117.55,39.18333333333333,2017-07-20,2017-12-20
1255,12,14,294.57,24.5475,2017-01-03,2017-12-18
1256,84,91,2785.53,33.16107142857143,2017-01-03,2017-12-23
1257,22,22,1075.3600000000001,48.88,2017-05-23,2017-12-17
1258,130,142,2155.57,16.581307692307693,2017-01-03,2017-12-30
1259,18,20,638.72,35.48444444444445,2017-01-11,2017-12-27
126,13,14,323.23,24.863846153846154,2017-01-10,2017-12-02
1260,63,72,5183.68,82.28063492063492,2017-01-01,2017-12-27
1261,117,157,2287.53,19.551538461538463,2017-01-04,2017-12-30
1262,6,7,212.87,35.47833333333333,2017-03-16,2017-05-04
1263,54,62,2845.83,52.70055555555555,2017-01-04,2017-12-16
1264,79,89,3874.1,49.039240506329115,2017-01-05,2017-12-28
1265,34,38,914.5500000000001,26.89852941176471,2017-01-05,2017-12-13
1266,58,64,898.61,15.493275862068966,2017-01-03,2017-12-31
1267,43,45,1127.86,26.229302325581394,2017-01-05,2017-12-28
1268,30,33,1367.72,45.59066666666667,2017-02-02,2017-12-23
1269,53,64,1582.43,29.857169811320755,2017-01-01,2017-12-30
127,115,139,3673.34,31.94208695652174,2017-01-03,2017-12-30
1270,40,48,2177.07,54.426750000000006,2017-01-05,2017-11-28
1271,81,87,2656.95,32.80185185185185,2017-01-04,2017-12-31
1272,137,142,5379.51,39.26649635036497,2017-01-03,2017-12-29
1273,3,3,49.910000000000004,16.636666666666667,2017-11-08,2017-12-15
1274,131,142,6929.6900000000005,52.89839694656489,2017-01-01,2017-12-30
1275,3,5,84.33,28.11,2017-01-04,2017-01-07
1276,6,6,226.6,37.766666666666666,2017-01-01,2017-12-24
1277,119,149,3157.1,26.530252100840336,2017-01-01,2017-12-31
1278,9,9,411.33,45.70333333333333,2017-01-28,2017-12-18
1279,101,129,3101.81,30.7109900990099,2017-01-02,2017-12-24
128,19,23,681.29,35.85736842105263,2017-01-06,2017-12-31
1280,4,4,66.54,16.635,2017-07-19,2017-10-11
1281,16,20,345.7,21.60625,2017-01-07,2017-12-31
1282,102,126,3791.1,37.167647058823526,2017-01-02,2017-12-24
1283,31,33,180.04,5.807741935483871,2017-01-06,2017-12-13
1284,99,113,1325.41,13.3879797979798,2017-01-29,2017-12-31
1285,74,82,3028.78,40.929459459459466,2017-01-04,2017-12-27
1286,9,10,111.83,12.425555555555555,2017-01-10,2017-11-20
1287,48,70,1284.85,26.76770833333333,2017-01-04,2017-12-29
1288,22,22,1188.46,54.02090909090909,2017-01-04,2017-12-28
1289,229,316,878.5,3.836244541484716,2017-01-01,2017-12-31
129,31,32,364.36,11.753548387096775,2017-01-06,2017-12-11
1290,14,18,493.75,35.267857142857146,2017-04-13,2017-12-28
1291,63,65,2319.05,36.810317460317464,2017-01-03,2017-12-27
1292,8,9,263.42,32.9275,2017-01-11,2017-12-24
1293,96,105,2067.45,21.5359375,2017-01-09,2017-12-28
1294,29,29,3119.88,107.58206896551725,2017-01-03,2017-12-26
1295,42,47,962.85,22.925,2017-02-25,2017-12-29
1296,45,46,1267.96,28.17688888888889,2017-01-03,2017-12-29
1297,87,101,1894.29,21.77344827586207,2017-01-03,2017-12-31
1298,31,33,994.0799999999999,32.067096774193544,2017-01-18,2017-12-29
1299,79,111,3312.27,41.92746835443038,2017-01-04,2017-12-30
13,118,157,7448.22,63.120508474576276,2017-01-03,2017-12-31
130,4,4,48.07,12.0175,2017-02-07,2017-02-23
1300,44,51,1865.7,42.40227272727273,2017-01-06,2017-12-30
1301,35,39,611.53,17.472285714285714,2017-01-08,2017-10-21
1302,21,23,476.46,22.68857142857143,2017-01-22,2017-12-30
1303,110,140,3968.51,36.077363636363636,2017-01-03,2017-12-31
1304,51,56,497.54,9.755686274509804,2017-01-01,2017-12-23
1305,121,186,4159.84,34.37884297520661,2017-01-03,2017-12-28
1306,105,124,1889.09,17.991333333333333,2017-01-02,2017-12-28
1307,73,87,1148.46,15.732328767123288,2017-01-03,2017-12-31
1308,3,3,34.46,11.486666666666666,2017-01-11,2017-10-22
1309,1,1,29.76,29.76,2017-09-23,2017-09-23
131,95,126,2777.75,29.239473684210527,2017-01-02,2017-12-30
1310,17,18,460.96000000000004,27.11529411764706,2017-02-10,2017-12-11
1311,5,6,258.5,51.7,2017-05-28,2017-11-19
1312,51,61,2114.81,41.46686274509804,2017-01-02,2017-12-24
1313,18,19,629.9,34.99444444444444,2017-01-11,2017-12-19
1314,167,225,8456.98,50.64059880239521,2017-01-02,2017-12-31
1315,4,4,458.08,114.52,2017-08-05,2017-12-06
1316,31,36,2435.23,78.55580645161291,2017-01-07,2017-12-28
1317,85,96,1803.07,21.212588235294117,2017-01-03,2017-12-28
1318,47,49,3464.36,73.70978723404255,2017-01-07,2017-12-30
1319,21,23,392.65,18.697619047619046,2017-01-12,2017-12-06
132,56,60,1601.17,28.59232142857143,2017-01-01,2017-12-20
1320,9,9,159.3,17.700000000000003,2017-01-10,2017-12-26
1321,114,134,975.84,8.56,2017-01-01,2017-12-31
1322,9,9,87.18,9.686666666666667,2017-01-11,2017-07-01
1323,4,4,50.66,12.665,2017-02-21,2017-10-05
1324,25,25,1552.54,62.1016,2017-01-26,2017-12-11
1325,44,46,2011.84,45.72363636363636,2017-01-01,2017-12-30
1326,161,281,6967.76,43.27801242236025,2017-01-02,2017-12-30
1327,1,1,48.51,48.51,2017-05-05,2017-05-05
1328,41,58,1168.3600000000001,28.49658536585366,2017-01-27,2017-12-22
1329,18,19,991.62,55.09,2017-02-02,2017-12-19
133,44,46,2133.34,48.48500000000001,2017-01-04,2017-12-22
1330,39,42,996.21,25.543846153846154,2017-01-11,2017-12-21
1331,37,42,843.34,22.792972972972972,2017-01-03,2017-12-28
1332,34,36,1451.46,42.69,2017-01-01,2017-12-31
1333,81,84,4976.85,61.4425925925926,2017-01-01,2017-12-30
1334,17,21,266.67,15.686470588235295,2017-07-20,2017-11-18
1335,20,21,648.23,32.411500000000004,2017-01-07,2017-12-13
1336,56,60,3302.2200000000003,58.96821428571429,2017-01-04,2017-12-30
1337,131,158,7291.01,55.65656488549619,2017-01-02,2017-12-30
1338,108,141,1161.76,10.757037037037037,2017-05-07,2017-12-29
1339,4,4,309.27,77.3175,2017-08-09,2017-11-20
134,37,39,2782.91,75.21378378378378,2017-01-12,2017-12-08
1340,31,33,292.83,9.446129032258064,2017-01-25,2017-12-24
1341,8,8,320.07,40.00875,2017-05-30,2017-12-19
1342,7,8,117.86999999999999,16.838571428571427,2017-01-20,2017-12-19
1343,6,6,38.23,6.371666666666666,2017-01-16,2017-05-08
1344,13,13,1505.45,115.80384615384615,2017-01-21,2017-12-02
1345,21,22,513.28,24.44190476190476,2017-02-05,2017-12-30
1346,42,51,849.35,20.222619047619048,2017-02-05,2017-12-23
1347,60,76,2172.26,36.20433333333334,2017-01-12,2017-12-24
1348,11,11,177.19,16.10818181818182,2017-02-17,2017-12-08
1349,97,107,3034.87,31.287319587628865,2017-01-03,2017-11-28
135,40,41,350.48,8.762,2017-01-05,2017-12-29
1350,40,54,1251.67,31.29175,2017-01-01,2017-12-31
1351,33,38,246.02,7.455151515151515,2017-01-13,2017-12-22
1352,73,84,3176.58,43.514794520547945,2017-01-03,2017-12-30
1353,80,85,2733.42,34.16775,2017-01-11,2017-12-30
1354,53,59,1628.49,30.726226415094338,2017-01-10,2017-12-29
1355,1,1,52.41,52.41,2017-11-18,2017-11-18
1356,47,49,1192.6,25.374468085106383,2017-01-04,2017-12-19
1357,44,49,2259.43,51.35068181818181,2017-01-06,2017-12-30
1358,49,58,1113.99,22.734489795918368,2017-08-26,2017-12-31
1359,47,50,711.33,15.13468085106383,2017-01-04,2017-11-27
136,44,53,1887.1200000000001,42.88909090909091,2017-01-06,2017-12-01
1360,10,10,289.62,28.962,2017-01-03,2017-12-18
1361,2,2,64.58,32.29,2017-01-14,2017-07-08
1362,37,38,897.39,24.253783783783785,2017-01-10,2017-12-31
1363,37,41,2974.79,80.39972972972973,2017-04-12,2017-12-03
1364,75,77,1188.89,15.851866666666668,2017-01-14,2017-12-31
1365,2,2,19.41,9.705,2017-01-18,2017-04-15
1366,127,156,2688.65,21.170472440944884,2017-01-04,2017-12-31
1367,134,194,6449.9800000000005,48.13417910447762,2017-01-03,2017-12-31
1368,19,19,1820.8300000000002,95.83315789473686,2017-01-06,2017-12-10
1369,51,55,1269.97,24.90137254901961,2017-01-02,2017-12-30
137,17,18,301.9,17.758823529411764,2017-01-02,2017-12-08
1370,47,48,5024.06,106.89489361702128,2017-01-08,2017-12-31
1371,24,29,414.91,17.287916666666668,2017-01-21,2017-09-04
1372,10,10,667.12,66.712,2017-01-21,2017-11-08
1373,19,20,309.14,16.27052631578947,2017-02-06,2017-12-28
1374,56,60,1769.31,31.59482142857143,2017-01-05,2017-12-30
1375,63,75,2265.37,35.95825396825396,2017-01-07,2017-12-20
1376,106,133,6474.1,61.07641509433962,2017-01-01,2017-12-31
1377,14,14,411.75,29.410714285714285,2017-01-09,2017-12-16
1378,62,63,4025.37,64.92532258064516,2017-01-01,2017-12-31
1379,222,302,8884.93,40.02220720720721,2017-01-01,2017-12-31
138,40,40,2198.41,54.960249999999995,2017-01-16,2017-12-22
1380,14,14,268.28,19.162857142857142,2017-01-07,2017-11-23
1381,15,18,56.45,3.7633333333333336,2017-02-02,2017-12-14
1382,54,59,1271.38,23.544074074074075,2017-01-09,2017-12-29
1383,66,73,862.15,13.062878787878788,2017-01-03,2017-12-26
